name,age,credit_score,income,loan_amount,employment_type,existing_emi,tenure,loan_type,default_status
Aditya Bhatia 74,61,831,460065,248427,Salaried,13992,6,Auto Loan,0
Patricia Mehra,35,570,974185,423792,Contract,24339,36,Business Loan,0
Jennifer Rodriguez,44,779,225531,724132,Business,946,60,Personal Loan,0
Jennifer Garcia 93,53,567,288347,169001,Self-employed,2645,12,Business Loan,0
Aadhya Sharma,60,378,1153707,3750290,Self-employed,0,24,Personal Loan,1
Karan Murthy,36,632,295622,222212,Self-employed,7123,36,Home Loan,0
Aadhya Rodriguez 83,23,817,200499,659480,Government,5290,36,Personal Loan,1
Rahul Brown 78,39,787,1832361,4890271,Business,0,36,Education Loan,1
Linda Gupta,30,780,258773,1254769,Contract,0,18,Education Loan,1
Linda Joshi,61,532,666950,1811048,Contract,0,60,Business Loan,0
Linda Rodriguez,32,511,622470,1761233,Self-employed,6219,12,Personal Loan,1
Rahul Bhatia,42,309,150000,568310,Self-employed,2479,48,Education Loan,1
Anvi Oberoi,27,580,508697,972306,Self-employed,13297,18,Education Loan,0
Vikram Das 27,32,353,781560,709515,Contract,16001,36,Auto Loan,1
Aditya Sharma,26,532,738654,843440,Business,10984,6,Personal Loan,1
Saanvi Mehra 75,36,480,1026958,4091888,Government,11391,48,Home Loan,1
Aditya Sharma,50,550,473309,268333,Self-employed,7394,60,Business Loan,0
Barbara Murthy 32,43,350,915753,4287602,Contract,14278,24,Business Loan,1
Rohan Khanna,41,668,394905,120596,Business,0,6,Business Loan,1
Patricia Sethi 99,46,815,256201,851635,Contract,8325,6,Personal Loan,0
Inaya Williams 47,45,354,274131,181188,Self-employed,0,48,Business Loan,1
Priya Johnson 61,39,452,248384,217535,Self-employed,0,12,Auto Loan,1
Diya Murthy 75,61,758,1094438,3111395,Salaried,12847,36,Personal Loan,1
Robert Garcia,66,662,240687,156606,Self-employed,0,18,Auto Loan,0
Jennifer Reddy,34,467,703922,444939,Contract,14995,60,Education Loan,1
Rahul Das,43,678,509123,274382,Salaried,11448,6,Business Loan,1
Nisha Joshi,36,429,561524,2573661,Government,6736,48,Auto Loan,1
Zara Johnson,28,352,1353445,2064852,Salaried,2872,18,Auto Loan,1
Barbara Oberoi,66,354,459063,2262245,Business,8871,48,Home Loan,1
Vikram Malhotra,22,672,861957,368967,Salaried,17415,6,Business Loan,0
Inaya Williams,52,640,610808,989509,Business,1494,60,Business Loan,0
Jennifer Garcia,33,693,545134,1070692,Salaried,4540,24,Personal Loan,0
Ishaan Sethi,23,721,2373749,5621490,Contract,54203,6,Education Loan,1
Priya Johnson 81,25,659,251499,964594,Government,0,12,Personal Loan,1
Amit Brown,47,681,1294298,1061899,Government,16209,6,Auto Loan,1
Rahul Nair,55,540,885443,3163158,Salaried,11245,24,Personal Loan,1
Jessica Verma 61,54,611,447881,598285,Government,0,12,Auto Loan,1
Priya Sharma,58,470,1587373,4728966,Government,8621,36,Education Loan,1
Jennifer Smith,67,674,197034,705229,Salaried,0,60,Education Loan,1
Karan Davis 28,47,507,436673,948758,Self-employed,13776,36,Auto Loan,1
Inaya Singh,27,566,289210,124360,Business,369,24,Education Loan,0
Rahul Khanna,43,732,764708,2575479,Self-employed,14635,6,Business Loan,1
Aadhya Sharma,51,809,306251,785135,Business,76,12,Home Loan,1
Karan Garcia,38,580,774395,848881,Government,17950,48,Personal Loan,0
Barbara Das,24,615,533993,418165,Contract,1360,60,Business Loan,0
Jennifer Davis,58,476,447927,255825,Business,0,48,Personal Loan,0
Patricia Nair,32,477,754030,2170574,Contract,0,48,Business Loan,1
Mary Singh,43,493,508299,1371618,Self-employed,6753,12,Auto Loan,0
Priya Davis,55,440,310773,1462610,Government,0,12,Education Loan,1
Robert Sharma,58,812,3206927,5493923,Self-employed,0,24,Home Loan,1
Nisha Bhatia 46,22,441,445832,1801179,Self-employed,0,12,Home Loan,1
Zara Davis,56,422,157855,50000,Contract,1875,60,Education Loan,1
Linda Rodriguez,57,573,360317,887028,Contract,11324,36,Auto Loan,1
Jennifer Iyer,67,689,279186,804154,Contract,0,24,Business Loan,0
Patricia Singh 8,70,810,980371,2112685,Contract,0,60,Business Loan,0
Mary Oberoi 76,24,463,724322,3040959,Government,0,60,Education Loan,1
Barbara Davis 48,40,666,758598,2808096,Salaried,0,6,Personal Loan,1
Nisha Murthy 92,34,345,478296,672897,Business,5618,48,Auto Loan,1
Arjun Iyer 73,29,764,505038,2040868,Self-employed,0,12,Education Loan,1
Vikram Nair,66,581,478036,2100087,Salaried,5542,12,Personal Loan,1
Rahul Nair,23,316,568799,2407565,Contract,1588,6,Education Loan,1
Diya Singh,28,778,985791,1468503,Government,5296,60,Education Loan,0
Deepak Joshi 61,41,344,730617,870388,Contract,1024,12,Education Loan,1
Robert Smith,53,594,806184,3044831,Business,5865,48,Business Loan,1
Karan Bhatia 64,35,581,805916,1088889,Self-employed,7844,60,Auto Loan,0
Patricia Miller,66,669,1015270,1578540,Self-employed,13415,60,Auto Loan,0
Patricia Iyer 77,48,366,709907,546591,Business,21086,48,Education Loan,1
Aarav Singh 22,29,679,740668,2114641,Government,6566,24,Personal Loan,1
Myra Bhatia,65,725,1218685,3974943,Business,5612,48,Business Loan,0
Mary Garcia,60,575,400701,1349570,Business,7216,60,Business Loan,1
Aditya Patel,70,612,357379,1625423,Salaried,0,12,Auto Loan,1
Mary Singh,43,519,293152,1031370,Contract,0,48,Auto Loan,1
Deepak Bhatia,47,599,666468,2088824,Self-employed,1373,60,Personal Loan,1
Mary Malhotra,28,709,196370,261488,Contract,0,60,Home Loan,0
Nisha Patel,46,526,788030,1618659,Salaried,0,24,Home Loan,1
Deepak Iyer 53,27,540,559323,2522263,Business,12679,48,Education Loan,1
Michael Brown,36,530,1179715,2299758,Government,350,12,Education Loan,1
Barbara Iyer 16,32,740,399053,1903814,Salaried,0,60,Auto Loan,1
Myra Garcia,69,443,528611,1255164,Contract,0,6,Education Loan,1
Anvi Davis,52,412,1170945,5579624,Business,0,18,Business Loan,1
Rahul Khanna,27,432,1369397,1566228,Self-employed,4966,60,Personal Loan,0
Barbara Rodriguez,44,439,397086,1327095,Business,11080,6,Home Loan,1
Deepak Sharma,64,392,666015,2181211,Government,6367,36,Education Loan,1
Pari Bhatia,41,630,712582,1424256,Business,2784,12,Business Loan,1
Jessica Garcia 12,25,669,747277,1474483,Government,0,24,Auto Loan,1
Ishaan Johnson,26,814,510147,1559133,Government,8572,60,Business Loan,0
Rahul Nair,59,432,1288294,4902683,Salaried,6156,12,Education Loan,1
Ishaan Williams 91,65,830,192178,592837,Business,0,18,Home Loan,0
Jessica Murthy,62,825,463852,2213459,Business,7504,12,Education Loan,1
Rohan Jones 87,45,558,781334,1147349,Salaried,5052,60,Home Loan,0
Inaya Iyer,27,772,785703,2521740,Business,19339,12,Personal Loan,1
James Das,54,723,1344664,2088171,Self-employed,0,48,Home Loan,1
Nisha Oberoi 20,40,751,1225592,5609406,Business,0,60,Auto Loan,1
Inaya Rodriguez 92,33,317,503165,1097182,Salaried,0,48,Education Loan,1
Aarav Garcia,57,771,1302665,1819083,Government,16251,24,Auto Loan,0
Patricia Gupta,30,629,389093,1357406,Self-employed,5173,48,Home Loan,0
Aarav Singh,43,752,1043960,953880,Self-employed,0,18,Personal Loan,0
Deepak Das 76,40,547,1769687,7183617,Government,22349,36,Business Loan,1
Michael Williams,52,449,1237948,5883239,Self-employed,8114,6,Business Loan,1
Nisha Jones 60,46,353,636323,636013,Salaried,10329,60,Auto Loan,1
Rahul Rodriguez,67,426,489398,1733047,Business,11254,12,Education Loan,0
Jessica Williams,26,714,238671,464891,Self-employed,613,48,Personal Loan,0
Diya Sharma,56,551,719508,233928,Self-employed,0,60,Auto Loan,0
Rohan Smith,47,380,305855,1311031,Self-employed,0,36,Home Loan,1
Aadhya Jones 23,53,456,371060,1780335,Salaried,0,60,Education Loan,1
David Verma 34,40,456,292304,395146,Contract,0,12,Personal Loan,1
Nisha Reddy 82,59,333,453053,1729061,Business,0,60,Business Loan,1
Amit Johnson,40,847,587257,2544156,Contract,11192,6,Business Loan,1
Linda Oberoi,59,809,703743,384686,Contract,13387,18,Auto Loan,0
Deepak Davis,33,389,416522,1301572,Contract,0,36,Education Loan,1
Jessica Das,44,440,1134349,1510777,Government,37509,60,Business Loan,1
Priya Singh,38,443,527063,1609348,Salaried,0,12,Home Loan,1
Aditya Oberoi,26,424,372266,1392403,Self-employed,7290,36,Auto Loan,1
Mary Murthy,31,661,684042,3352170,Salaried,15484,24,Home Loan,1
Amit Sharma 95,49,508,1939870,755201,Self-employed,0,60,Home Loan,0
Michael Singh 46,41,678,730216,3356938,Self-employed,0,18,Education Loan,1
Priya Singh,21,700,480357,598440,Government,6216,48,Auto Loan,0
Zara Garcia,57,498,238833,639397,Self-employed,1480,12,Personal Loan,1
Robert Iyer 26,30,344,523531,149014,Self-employed,1496,36,Education Loan,0
Linda Das,28,424,687596,636248,Self-employed,0,60,Education Loan,1
Barbara Gupta,51,530,473284,1028597,Business,5517,24,Business Loan,1
Ishaan Malhotra,55,312,219865,507803,Salaried,4770,18,Business Loan,1
Priya Verma,32,569,358491,722058,Government,6483,36,Auto Loan,1
Pari Martinez,37,748,1429339,5740607,Salaried,0,36,Home Loan,1
Myra Mehra,62,535,1411834,2548652,Contract,43650,6,Auto Loan,1
David Oberoi,27,519,350815,768341,Salaried,0,18,Auto Loan,1
Saanvi Verma,38,548,894172,1230660,Government,16779,6,Home Loan,1
Anvi Joshi,67,584,294447,508070,Business,258,36,Home Loan,0
David Singh,21,809,1386911,2912932,Salaried,34591,36,Auto Loan,1
Nisha Mehra,69,623,691861,1722650,Salaried,2876,36,Education Loan,1
Patricia Martinez,23,827,1055774,4939324,Business,28112,12,Personal Loan,1
Vikram Sharma,66,437,213404,997920,Salaried,0,24,Personal Loan,1
Nisha Oberoi 13,66,457,896794,3154706,Self-employed,26186,48,Home Loan,0
Amit Williams,29,461,594452,1935572,Contract,0,48,Education Loan,1
Priya Martinez,43,423,995656,1756959,Self-employed,15311,36,Home Loan,1
Jennifer Sethi,52,586,1033974,1699009,Contract,25507,48,Business Loan,0
Michael Malhotra,66,339,621238,1313166,Self-employed,0,60,Auto Loan,1
Anvi Davis,47,353,416441,1764641,Self-employed,0,18,Home Loan,1
Karan Malhotra,24,447,953426,1096382,Government,22384,12,Education Loan,1
Inaya Patel,59,824,576025,1730355,Business,8817,18,Business Loan,1
Deepak Verma,35,364,353744,512432,Contract,3173,12,Business Loan,1
Linda Joshi,29,401,343832,1697939,Self-employed,0,12,Home Loan,1
Barbara Verma,25,433,246151,678518,Contract,6335,6,Education Loan,1
David Johnson,54,377,439690,481761,Salaried,0,12,Home Loan,1
Deepak Singh,54,786,1157317,4640454,Self-employed,0,6,Auto Loan,0
Saanvi Miller,57,819,664438,2262071,Salaried,18845,48,Business Loan,1
Amit Brown,61,679,434581,1290619,Contract,0,18,Personal Loan,1
Barbara Sharma,42,408,967928,609600,Self-employed,5333,6,Personal Loan,1
Barbara Williams,52,544,362403,462051,Self-employed,81,24,Auto Loan,1
Deepak Verma 88,65,782,632357,765101,Contract,0,12,Personal Loan,1
Zara Brown,51,808,536178,2030692,Salaried,0,36,Personal Loan,0
Patricia Rodriguez 63,69,843,953103,2649791,Contract,0,12,Personal Loan,1
Pari Joshi 88,46,511,231807,490464,Business,2880,48,Business Loan,1
Karan Mehra,58,507,358570,811849,Self-employed,3730,18,Home Loan,1
Vikram Johnson 26,56,553,223474,872141,Business,6182,12,Home Loan,1
Inaya Nair,66,516,511059,774999,Salaried,0,6,Business Loan,1
Michael Rodriguez,41,392,1235339,1313605,Contract,2022,48,Personal Loan,1
Jennifer Reddy 24,38,558,440969,1644876,Salaried,7156,36,Business Loan,1
James Davis,25,682,439586,511707,Self-employed,4876,36,Education Loan,0
Vikram Khanna,46,444,1007552,2616698,Government,22685,36,Auto Loan,1
James Brown,32,735,1133850,5362705,Salaried,25336,6,Education Loan,1
Pari Sharma 54,50,520,566287,2178408,Contract,12790,24,Education Loan,1
Aditya Rodriguez,64,303,900611,1127936,Business,24402,48,Business Loan,1
Jessica Brown,29,343,312958,1362924,Self-employed,0,60,Education Loan,1
Anvi Rodriguez,39,738,1365163,3580713,Contract,31147,6,Auto Loan,1
Patricia Brown,60,446,2167800,8490392,Business,43817,36,Education Loan,1
Robert Nair,21,354,816456,643008,Salaried,9269,60,Education Loan,0
Aarav Nair,46,699,170996,637427,Business,0,6,Business Loan,0
Aditya Verma 87,28,452,427223,695174,Contract,6491,12,Education Loan,1
Deepak Martinez,61,726,862590,217705,Self-employed,0,36,Auto Loan,1
Pari Davis,28,633,463754,504462,Contract,0,48,Auto Loan,0
David Nair,44,395,1281214,5169059,Self-employed,0,24,Home Loan,1
Zara Mehra,60,830,849917,1772844,Business,25688,36,Personal Loan,1
Saanvi Verma,40,374,390863,99812,Business,0,6,Auto Loan,1
Amit Nair,40,816,608869,2949522,Self-employed,14070,6,Auto Loan,0
Ishaan Joshi,55,645,349304,263445,Business,0,24,Personal Loan,0
Aarav Martinez 8,68,507,535228,2072551,Salaried,0,18,Home Loan,1
Mary Rodriguez,63,603,428156,691421,Business,0,48,Auto Loan,0
Pari Rodriguez,52,393,1208459,1504131,Business,28864,24,Business Loan,1
Aarav Martinez 5,44,613,2125690,4384725,Contract,16108,36,Auto Loan,1
Inaya Sethi,39,380,253035,798896,Salaried,1358,12,Personal Loan,1
Patricia Miller,32,548,188352,50000,Self-employed,0,24,Business Loan,0
Jessica Verma 12,60,845,515502,1247530,Government,3137,6,Home Loan,1
Priya Johnson,54,679,240133,822249,Contract,7999,48,Home Loan,0
Jennifer Mehra,52,603,613985,2747822,Self-employed,113,12,Personal Loan,1
Inaya Martinez,42,418,935991,669644,Government,26427,6,Education Loan,1
Jennifer Joshi,29,736,1463710,3620530,Business,0,18,Auto Loan,0
Karan Garcia,48,463,673899,3289054,Business,12158,6,Auto Loan,1
Mary Das,37,437,531844,1495631,Contract,7413,12,Education Loan,1
Rahul Bhatia,59,520,182219,663794,Salaried,0,18,Auto Loan,1
David Joshi,32,546,606652,1766938,Contract,0,6,Business Loan,0
Anvi Davis 91,33,391,623293,1365445,Business,10901,24,Auto Loan,1
Diya Nair,50,438,876221,2599437,Business,13727,12,Education Loan,1
Priya Sharma,48,488,390392,1767822,Government,11422,48,Home Loan,1
Michael Miller,24,569,459993,1907158,Contract,4848,6,Business Loan,1
James Patel,21,792,246027,396922,Contract,0,12,Personal Loan,1
Saanvi Verma,62,361,151028,612771,Salaried,0,6,Home Loan,1
Nisha Sethi,36,512,307091,606080,Salaried,0,36,Business Loan,1
Jessica Sharma,61,567,232769,743260,Government,0,24,Home Loan,1
Zara Patel,46,501,730896,1591516,Self-employed,0,60,Auto Loan,0
Diya Nair 49,46,669,437625,1612921,Business,1447,6,Education Loan,1
James Smith,31,444,432378,136377,Self-employed,13553,60,Auto Loan,1
Diya Williams,35,479,330827,1154313,Business,0,36,Business Loan,1
Pari Patel,24,691,150000,546740,Government,0,18,Auto Loan,1
Zara Nair 62,70,721,1476206,3949969,Self-employed,24775,12,Education Loan,1
Ishaan Brown,46,455,327694,1475785,Contract,0,18,Education Loan,1
Rahul Murthy,70,531,466282,584081,Government,8404,12,Home Loan,1
Myra Sharma 6,34,336,249462,127299,Business,1792,36,Auto Loan,1
Pari Williams,51,355,1069988,3044815,Salaried,16085,48,Business Loan,1
Inaya Oberoi 52,64,450,650864,1181419,Salaried,14296,24,Personal Loan,1
Rohan Nair,31,761,363734,454188,Self-employed,0,12,Business Loan,0
Ishaan Sharma,45,662,471966,1940764,Contract,0,36,Personal Loan,1
Vikram Martinez,37,757,1634598,3316396,Government,51305,60,Education Loan,0
Rohan Williams,51,345,571613,2411395,Business,0,12,Education Loan,1
Rahul Murthy 18,55,346,535501,2329423,Business,0,24,Auto Loan,1
Priya Smith,25,466,339480,1100180,Contract,62,24,Personal Loan,1
Michael Smith,65,570,191616,217251,Self-employed,0,18,Home Loan,1
Amit Murthy 95,31,406,542518,2409492,Salaried,0,6,Home Loan,1
Amit Mehra,47,363,725989,2017202,Government,23018,48,Personal Loan,1
Jennifer Malhotra 77,24,551,1155161,5756972,Government,9930,48,Business Loan,1
Inaya Jones,33,546,154956,355232,Contract,0,48,Education Loan,0
Ishaan Williams,56,307,304048,1132667,Business,0,6,Home Loan,1
Anvi Garcia,53,765,421491,369498,Business,2425,24,Personal Loan,0
Diya Williams 55,29,390,595949,2280204,Business,0,48,Education Loan,1
Amit Johnson,33,642,547424,2290954,Business,17150,18,Business Loan,1
Vikram Jones,41,811,555146,391421,Self-employed,13890,6,Education Loan,0
Ishaan Iyer,62,401,762881,2014871,Salaried,0,24,Auto Loan,1
Aarav Bhatia,51,417,347327,680058,Salaried,9444,6,Auto Loan,1
Deepak Das,24,371,1046000,4420183,Contract,19050,60,Business Loan,1
Arjun Nair,39,459,774576,1309916,Self-employed,18499,24,Personal Loan,1
Aadhya Murthy,26,331,492919,687387,Contract,5919,36,Home Loan,1
Zara Joshi 55,42,681,1560543,5052255,Government,0,60,Auto Loan,0
Rohan Brown,57,556,1519435,5336568,Salaried,21205,12,Education Loan,1
Myra Bhatia 32,32,666,1045219,1358801,Self-employed,0,24,Home Loan,0
Rohan Das,28,579,150000,335643,Business,0,12,Business Loan,1
Diya Smith 17,56,561,1540114,1963707,Self-employed,0,12,Education Loan,1
Karan Khanna,53,400,962082,2159817,Self-employed,0,36,Auto Loan,1
Ishaan Mehra,46,785,1990398,7828165,Business,59253,6,Personal Loan,1
Barbara Gupta,59,725,1254789,2132126,Salaried,3596,60,Business Loan,0
Rohan Nair,66,635,1539557,6325642,Salaried,45328,24,Home Loan,1
Diya Jones,49,672,1011750,4111055,Salaried,23449,12,Personal Loan,1
Deepak Malhotra,36,745,1341388,1909427,Salaried,8805,60,Home Loan,0
Inaya Iyer,53,576,1975780,7308774,Self-employed,457,6,Personal Loan,1
Pari Sharma,22,622,680057,2144904,Government,8868,24,Home Loan,1
Myra Jones,65,630,232503,978227,Business,2357,18,Auto Loan,1
Barbara Brown,22,376,496591,1618339,Government,0,6,Education Loan,1
Rohan Singh 9,64,541,754618,3302551,Self-employed,0,18,Personal Loan,1
Linda Verma,21,682,624641,1993807,Salaried,10120,12,Home Loan,1
James Davis 39,33,845,282677,652099,Business,4005,6,Education Loan,1
Aarav Mehra 68,59,320,224439,97210,Self-employed,4504,60,Business Loan,1
Pari Miller,36,351,382813,534993,Salaried,6660,60,Home Loan,0
Diya Sethi,38,414,969604,2537941,Government,30950,12,Education Loan,1
Vikram Williams 30,28,556,1541403,5453363,Salaried,48349,12,Home Loan,1
Priya Joshi 6,31,422,1035029,1015318,Salaried,14315,12,Personal Loan,1
Inaya Rodriguez 75,45,762,1126308,4657753,Business,0,18,Auto Loan,1
Arjun Nair,66,385,568928,1471839,Self-employed,0,48,Personal Loan,1
Rahul Gupta,64,316,209976,732277,Self-employed,1191,48,Home Loan,1
Arjun Sethi,67,812,454461,247879,Government,14116,36,Education Loan,0
Robert Davis,41,765,511315,1008206,Government,0,24,Business Loan,0
Vikram Das,63,323,443196,566089,Self-employed,7191,18,Auto Loan,1
Nisha Verma 9,63,514,617118,152142,Government,13040,60,Auto Loan,0
Aadhya Gupta 97,23,801,778287,1253531,Salaried,11121,60,Home Loan,0
Jessica Singh,50,397,996305,4246641,Government,5702,12,Personal Loan,1
Rohan Sharma,40,741,505411,2101886,Self-employed,0,48,Education Loan,0
Zara Singh,33,773,190564,784975,Self-employed,0,48,Home Loan,1
David Brown,43,404,446981,1697956,Government,0,60,Home Loan,1
Deepak Singh 38,64,729,613064,2361452,Self-employed,0,24,Auto Loan,1
Nisha Davis,40,818,1243803,2032985,Government,0,48,Business Loan,0
Pari Gupta,66,521,424775,692012,Business,6573,36,Auto Loan,1
Zara Singh,67,424,812219,914370,Salaried,710,48,Business Loan,1
Ishaan Das,61,526,710733,2863393,Business,0,36,Home Loan,1
Anvi Miller 23,70,460,613134,2643828,Business,0,48,Auto Loan,1
Rohan Bhatia,35,710,1043738,2702448,Salaried,0,60,Business Loan,0
James Davis,24,710,401713,178590,Contract,0,36,Education Loan,0
Ishaan Nair,55,607,422898,276673,Contract,3741,48,Business Loan,0
Vikram Bhatia,24,694,592946,413680,Business,0,48,Personal Loan,0
Aditya Khanna,37,375,406732,590846,Self-employed,1647,24,Business Loan,1
Rohan Khanna 38,31,843,810014,3042566,Salaried,16753,24,Personal Loan,0
Jessica Sharma,48,767,389291,200897,Contract,0,48,Business Loan,0
Barbara Murthy,29,714,684047,555172,Salaried,13658,18,Personal Loan,0
Patricia Khanna,39,750,562359,2424487,Self-employed,15439,48,Auto Loan,1
Arjun Bhatia,35,477,679393,938379,Government,16931,12,Personal Loan,1
Zara Sharma 17,21,809,453230,759138,Government,8108,12,Education Loan,1
Linda Gupta,23,365,487257,1596464,Contract,0,36,Business Loan,1
Aditya Davis 43,63,687,632607,833728,Government,20745,18,Home Loan,1
Myra Garcia 64,23,421,674174,1581978,Contract,2631,48,Auto Loan,1
Jennifer Malhotra,28,791,595691,926385,Business,14190,36,Education Loan,0
Rohan Sharma,66,600,1661476,8194505,Government,53542,36,Home Loan,1
Patricia Joshi 1,23,588,329574,1123496,Government,4404,18,Auto Loan,1
Linda Murthy,22,370,574627,2262901,Contract,7525,48,Auto Loan,1
Patricia Singh,33,537,232308,741644,Salaried,7694,24,Education Loan,1
Aadhya Johnson,57,785,746573,2611879,Self-employed,20313,12,Education Loan,0
Patricia Das,70,478,305850,760823,Self-employed,0,12,Personal Loan,1
Myra Davis,41,644,505353,1493153,Salaried,13063,36,Home Loan,0
Linda Mehra,36,695,477711,1843433,Self-employed,8326,18,Home Loan,0
Deepak Sethi 84,39,630,706822,1391595,Salaried,0,24,Auto Loan,1
Jennifer Garcia,48,373,428619,1785309,Government,1140,12,Business Loan,1
Aditya Mehra 47,37,829,417824,1554534,Business,0,18,Auto Loan,1
David Khanna 35,43,409,1413407,3303185,Contract,25435,18,Education Loan,1
Barbara Bhatia 64,42,793,708382,3061687,Self-employed,1296,6,Education Loan,1
Saanvi Martinez,21,644,426500,2031779,Contract,0,48,Business Loan,1
Diya Davis,34,501,513753,825595,Contract,11331,12,Education Loan,1
Linda Brown,33,662,1602720,6708587,Business,0,18,Education Loan,1
David Patel,38,842,518606,2180148,Business,0,24,Education Loan,0
Deepak Johnson 69,52,791,394918,813657,Contract,0,18,Home Loan,1
James Rodriguez,39,395,395933,96350,Business,0,18,Home Loan,1
Aditya Khanna,51,584,429563,1261634,Government,10638,24,Business Loan,1
Priya Sharma,59,802,418027,1134257,Business,0,60,Home Loan,0
Aarav Khanna,38,368,277121,84057,Salaried,4940,60,Auto Loan,0
Saanvi Mehra,58,718,304211,1344221,Self-employed,0,12,Personal Loan,1
David Sethi,42,730,363090,1657924,Government,3694,6,Business Loan,1
Myra Sharma,23,365,851659,3840271,Contract,0,12,Home Loan,1
Inaya Murthy,64,653,475089,873486,Business,0,6,Personal Loan,1
Ishaan Patel,29,566,527393,1383963,Salaried,2966,48,Auto Loan,1
Michael Smith,39,527,1279593,1968783,Government,32034,24,Auto Loan,1
Jessica Martinez 71,62,408,1298868,1596288,Salaried,0,60,Auto Loan,1
Michael Sharma,23,516,504198,1711939,Self-employed,16364,6,Education Loan,1
Jessica Rodriguez,50,555,409004,1768004,Business,0,48,Auto Loan,1
Anvi Rodriguez 63,65,449,355521,1084606,Contract,0,6,Home Loan,1
Nisha Singh 89,28,743,904977,1235601,Salaried,29463,60,Education Loan,0
Vikram Oberoi,33,640,528171,1648325,Self-employed,0,6,Education Loan,1
Deepak Smith 73,35,841,473592,1093109,Salaried,0,6,Education Loan,1
Karan Garcia 49,61,521,366517,210947,Business,0,6,Auto Loan,1
Anvi Davis 79,30,832,376321,578730,Government,10974,60,Business Loan,0
Zara Garcia,45,642,723629,841033,Contract,14566,36,Personal Loan,1
James Sethi 47,46,446,271233,1027784,Salaried,2781,24,Personal Loan,1
Anvi Sethi,64,837,1084816,4050951,Business,0,18,Personal Loan,1
Diya Singh,66,518,433520,1709390,Contract,0,18,Auto Loan,1
Karan Khanna,53,678,545914,2224854,Salaried,12912,6,Education Loan,0
Aarav Gupta,58,700,267751,1052587,Salaried,0,48,Home Loan,1
Zara Gupta,30,371,592781,2435560,Business,12433,12,Business Loan,1
Zara Murthy,26,535,490415,953506,Business,0,18,Home Loan,1
Barbara Brown,35,411,579517,1128305,Contract,7952,48,Personal Loan,1
Deepak Mehra,44,700,1444141,3626267,Contract,0,60,Auto Loan,0
Nisha Oberoi,46,529,664386,1223203,Government,204,48,Education Loan,0
Rohan Sharma,39,438,370720,1269847,Self-employed,0,48,Personal Loan,1
Robert Miller 12,25,531,389729,923384,Contract,3215,60,Personal Loan,0
Saanvi Johnson,41,585,853481,598855,Contract,5209,12,Home Loan,0
Priya Sharma 47,55,620,1301744,6302367,Business,4149,24,Personal Loan,1
Michael Oberoi,42,388,707258,1659783,Government,0,60,Home Loan,1
Jennifer Bhatia,58,638,902774,1681454,Self-employed,0,18,Auto Loan,1
James Nair,57,686,860993,2450396,Salaried,10490,36,Personal Loan,1
Robert Nair,36,495,1399238,6609317,Contract,0,24,Personal Loan,1
Robert Reddy,36,590,185395,87149,Government,1347,12,Education Loan,0
Jennifer Das 27,41,309,891206,3055277,Business,0,48,Personal Loan,1
Karan Sharma,30,796,1077594,1349415,Contract,9447,24,Education Loan,0
Myra Joshi,46,567,267470,336725,Salaried,3312,12,Home Loan,1
Karan Martinez 94,43,742,351020,269814,Business,9300,24,Home Loan,0
Inaya Malhotra,61,408,358444,142999,Self-employed,0,60,Personal Loan,0
Anvi Khanna,51,744,385665,1688942,Government,8130,60,Business Loan,1
Pari Johnson,39,753,447293,1842999,Government,10988,36,Business Loan,1
Aditya Miller,36,796,690769,3222498,Business,17245,24,Home Loan,1
Aditya Oberoi 96,56,362,1003901,1151958,Contract,32015,24,Education Loan,1
Rohan Jones,46,381,1142569,1467837,Self-employed,27749,24,Auto Loan,1
Arjun Garcia,61,341,361243,550618,Government,126,48,Auto Loan,1
Pari Verma 37,59,745,359754,279438,Self-employed,9529,60,Business Loan,0
Nisha Williams,29,703,1315191,6439319,Contract,15468,60,Auto Loan,1
Jennifer Smith,30,840,880324,1827195,Self-employed,1927,18,Home Loan,1
Patricia Gupta,46,573,627638,1930568,Salaried,0,12,Business Loan,1
Jennifer Miller,41,850,793335,3734900,Business,24491,6,Personal Loan,1
Aditya Murthy 73,33,391,586611,2300746,Government,8321,60,Auto Loan,1
Ishaan Malhotra,53,400,818108,3392705,Government,0,18,Home Loan,1
Pari Singh 43,28,524,488141,818303,Contract,3558,18,Home Loan,1
Barbara Bhatia 39,30,755,701715,190862,Salaried,0,6,Home Loan,0
Priya Johnson,68,818,241270,545080,Business,0,24,Auto Loan,1
Michael Brown,37,507,395272,1412664,Business,10270,6,Home Loan,1
Patricia Murthy,44,481,397835,1200126,Government,0,48,Personal Loan,1
Zara Martinez 62,53,645,477044,1500540,Self-employed,794,24,Business Loan,1
Ishaan Davis,65,334,342522,685442,Self-employed,11362,12,Education Loan,1
Patricia Verma 31,40,581,433598,2100264,Self-employed,6221,6,Personal Loan,1
Ishaan Nair 72,27,494,240710,59918,Government,0,48,Auto Loan,1
Karan Johnson,27,846,830032,4053725,Self-employed,0,18,Business Loan,1
Patricia Davis,66,741,568349,1300460,Salaried,12943,6,Personal Loan,0
Nisha Oberoi,42,776,214673,594540,Salaried,4894,6,Personal Loan,0
Robert Nair 24,40,693,361892,1506786,Contract,8409,36,Auto Loan,1
Mary Oberoi,54,462,730848,954103,Government,23075,48,Personal Loan,1
Barbara Verma,61,386,431139,275048,Business,6963,18,Home Loan,1
